Name,Team,GP,,G,,A,,Pts,,+/-,,PIM,,Hits,,BkS,,FW,,FL,,FO%,,PPG,,PPA,,SHG,,SHA,,GW,,SOG,,Pct,
 Steven Stamkos,TAM,17,,9,,11,,20,,3,,14,,21,,3,,106,,92,,0.535,,3,,4,,0,,0,,1,,58,,0.155,
 Alex Pietrangelo,STL,42,,7,,13,,20,,-6,,18,,20,,86,,0,,0,,N/A,,3,,4,,0,,0,,2,,93,,0.075,
 Mike Green,DET,35,,8,,12,,20,,-7,,24,,29,,45,,0,,0,,N/A,,2,,3,,0,,0,,1,,66,,0.121,
 Damon Severson,NJD,44,,3,,17,,20,,-26,,39,,40,,43,,0,,0,,N/A,,0,,9,,0,,0,,1,,64,,0.047,
 Tyler Toffoli,LOS,32,,8,,12,,20,,14,,16,,36,,2,,1,,2,,0.333,,2,,1,,0,,1,,1,,93,,0.086,
 Tomas Plekanec,MON,44,,6,,14,,20,,7,,12,,38,,31,,400,,383,,0.511,,3,,3,,1,,0,,2,,83,,0.072,
 Matt Dumba,MIN,41,,7,,13,,20,,19,,39,,47,,33,,0,,0,,N/A,,3,,5,,0,,0,,1,,77,,0.091,
 Kris Versteeg,CGY,34,,7,,12,,19,,0,,10,,2,,13,,10,,10,,0.5,,3,,4,,0,,0,,1,,58,,0.121,
 Brian Gionta,BUF,42,,9,,10,,19,,-5,,18,,29,,15,,25,,22,,0.532,,0,,1,,1,,0,,2,,85,,0.106,
 Patrick Marleau,SAN,43,,12,,7,,19,,0,,12,,47,,18,,25,,27,,0.481,,3,,4,,0,,0,,3,,102,,0.118,
