Name,Team,GP,,G,,A,,Pts,,+/-,,PIM,,Hits,,BkS,,FW,,FL,,FO%,,PPG,,PPA,,SHG,,SHA,,GW,,SOG,,Pct,
 Connor McDavid,EDM,45,,14,,36,,50,,12,,20,,15,,10,,221,,280,,0.441,,2,,12,,0,,1,,3,,135,,0.104,
 Sidney Crosby,PIT,36,,26,,20,,46,,8,,14,,41,,10,,398,,434,,0.478,,9,,5,,0,,0,,3,,122,,0.213,
 Evgeni Malkin,PIT,42,,18,,28,,46,,7,,50,,29,,14,,241,,327,,0.424,,7,,9,,0,,0,,4,,128,,0.141,
 Patrick Kane,CHI,45,,12,,33,,45,,6,,24,,14,,8,,5,,35,,0.125,,2,,11,,0,,0,,4,,148,,0.081,
 Brent Burns,SAN,43,,17,,27,,44,,15,,18,,46,,76,,0,,0,,N/A,,4,,8,,0,,1,,3,,167,,0.102,
 Vladimir Tarasenko,STL,43,,20,,24,,44,,-6,,8,,21,,13,,1,,3,,0.25,,6,,11,,0,,0,,4,,145,,0.138,
 Brad Marchand,BOS,46,,17,,26,,43,,9,,42,,30,,20,,11,,16,,0.407,,3,,8,,2,,0,,4,,134,,0.127,
 Tyler Seguin,DAL,44,,16,,27,,43,,-10,,14,,40,,14,,218,,219,,0.499,,7,,9,,0,,0,,1,,156,,0.103,
 Artemi Panarin,CHI,45,,17,,25,,42,,14,,19,,10,,6,,1,,0,,1,,7,,7,,0,,0,,2,,113,,0.15,
 Cam Atkinson,COB,42,,21,,20,,41,,1,,12,,19,,20,,2,,0,,1,,9,,10,,2,,0,,4,,124,,0.169,
 Phil Kessel,PIT,42,,13,,28,,41,,-1,,12,,6,,11,,3,,7,,0.3,,4,,14,,0,,0,,3,,119,,0.109,
 Jakub Voracek,PHI,45,,13,,28,,41,,-11,,44,,14,,10,,2,,6,,0.25,,3,,12,,0,,0,,2,,145,,0.09,
 Mark Scheifele,WPG,43,,19,,21,,40,,5,,28,,35,,20,,338,,430,,0.44,,5,,4,,0,,0,,2,,94,,0.202,
 Nicklas Backstrom,WAS,42,,12,,28,,40,,12,,20,,26,,18,,372,,329,,0.531,,3,,13,,0,,0,,2,,83,,0.145,
 Nikita Kucherov,TAM,37,,17,,23,,40,,7,,22,,14,,13,,0,,0,,N/A,,6,,8,,0,,0,,4,,117,,0.145,
 Jeff Carter,LOS,43,,23,,17,,40,,5,,16,,48,,19,,403,,352,,0.534,,7,,4,,1,,0,,8,,132,,0.174,
 Eric Staal,MIN,41,,15,,24,,39,,15,,18,,25,,20,,340,,344,,0.497,,2,,9,,1,,1,,6,,108,,0.139,
 Joe Pavelski,SAN,43,,15,,24,,39,,9,,18,,87,,43,,243,,222,,0.523,,4,,9,,0,,0,,4,,146,,0.103,
 Nikolaj Ehlers,WPG,46,,14,,25,,39,,2,,20,,27,,12,,0,,2,,0,,3,,4,,0,,0,,3,,110,,0.127,
 Victor Hedman,TAM,44,,7,,31,,38,,0,,29,,51,,73,,0,,0,,N/A,,2,,16,,0,,0,,2,,85,,0.082,
 Leon Draisaitl,EDM,45,,16,,22,,38,,3,,8,,15,,14,,311,,325,,0.489,,8,,7,,0,,0,,2,,100,,0.16,
 Claude Giroux,PHI,45,,10,,28,,38,,-10,,26,,36,,13,,555,,459,,0.547,,4,,17,,0,,0,,1,,117,,0.085,
 Ryan Kesler,ANA,45,,18,,19,,37,,13,,36,,74,,42,,563,,417,,0.574,,7,,8,,0,,0,,2,,108,,0.167,
 Max Pacioretty,MON,44,,20,,17,,37,,7,,26,,35,,16,,20,,14,,0.588,,5,,3,,1,,1,,6,,137,,0.146,
 Patrik Laine,WPG,42,,21,,16,,37,,8,,14,,50,,17,,0,,3,,0,,7,,4,,0,,0,,4,,111,,0.189,
 Auston Matthews,TOR,41,,21,,16,,37,,4,,10,,7,,36,,225,,282,,0.444,,3,,8,,0,,0,,4,,143,,0.147,
 Nick Foligno,COB,40,,15,,21,,36,,10,,37,,59,,25,,27,,27,,0.5,,8,,9,,0,,0,,4,,96,,0.156,
 Blake Wheeler,WPG,46,,13,,23,,36,,-2,,28,,61,,27,,40,,48,,0.455,,2,,9,,1,,1,,1,,141,,0.092,
 Alexander Wennberg,COB,42,,8,,28,,36,,7,,11,,32,,30,,307,,362,,0.459,,2,,16,,0,,0,,3,,52,,0.154,
 Alex Ovechkin,WAS,42,,21,,15,,36,,7,,32,,100,,13,,0,,1,,0,,8,,3,,0,,0,,6,,165,,0.127,
 Jeff Skinner,CAR,42,,17,,18,,35,,-5,,18,,17,,15,,5,,12,,0.294,,5,,7,,0,,0,,1,,154,,0.11,
 Jamie Benn,DAL,40,,10,,25,,35,,-8,,37,,61,,22,,159,,138,,0.535,,6,,6,,0,,0,,2,,92,,0.109,
 Erik Karlsson,OTT,41,,7,,28,,35,,3,,16,,35,,105,,0,,0,,N/A,,1,,12,,0,,1,,2,,94,,0.074,
 Mitchell Marner,TOR,41,,10,,25,,35,,-4,,22,,21,,21,,10,,15,,0.4,,1,,10,,0,,0,,3,,108,,0.093,
 James van Riemsdyk,TOR,41,,15,,20,,35,,-2,,20,,42,,18,,1,,3,,0.25,,3,,9,,0,,0,,1,,112,,0.134,
 Charlie Coyle,MIN,41,,13,,21,,34,,15,,22,,53,,41,,30,,29,,0.508,,4,,3,,0,,0,,3,,86,,0.151,
 Brandon Saad,COB,42,,15,,19,,34,,16,,6,,14,,12,,4,,3,,0.571,,1,,1,,0,,0,,3,,108,,0.139,
 Wayne Simmonds,PHI,45,,18,,16,,34,,-14,,67,,84,,28,,8,,7,,0.533,,9,,8,,1,,0,,1,,121,,0.149,
 Mikael Granlund,MIN,41,,10,,24,,34,,22,,6,,25,,25,,5,,8,,0.385,,2,,6,,1,,1,,2,,76,,0.132,
 Kevin Hayes,NYR,44,,13,,20,,33,,17,,10,,29,,24,,272,,331,,0.451,,1,,4,,1,,3,,3,,78,,0.167,
 Corey Perry,ANA,45,,8,,25,,33,,-2,,27,,41,,16,,4,,7,,0.364,,2,,13,,0,,0,,1,,123,,0.065,
 Derek Stepan,NYR,44,,10,,23,,33,,12,,12,,17,,27,,372,,440,,0.458,,1,,8,,1,,0,,1,,104,,0.096,
 David Pastrnak,BOS,39,,19,,14,,33,,16,,18,,32,,19,,2,,1,,0.667,,4,,3,,0,,0,,3,,134,,0.142,
 Mark Stone,OTT,40,,13,,19,,32,,3,,17,,26,,34,,7,,9,,0.438,,5,,6,,0,,0,,3,,66,,0.197,
 Mats Zuccarello,NYR,44,,8,,24,,32,,6,,14,,48,,27,,4,,3,,0.571,,2,,4,,0,,0,,0,,111,,0.072,
 J.T. Miller,NYR,44,,14,,18,,32,,13,,15,,60,,33,,66,,88,,0.429,,1,,4,,3,,0,,3,,79,,0.177,
 Ryan Getzlaf,ANA,38,,5,,27,,32,,-4,,20,,48,,44,,271,,262,,0.508,,2,,11,,1,,0,,1,,67,,0.075,
 Victor Rask,CAR,43,,13,,19,,32,,2,,8,,16,,19,,237,,258,,0.479,,3,,4,,0,,1,,2,,102,,0.127,
 John Tavares,NYI,41,,16,,16,,32,,0,,26,,18,,10,,453,,406,,0.527,,4,,4,,0,,0,,0,,123,,0.13,
 Alexander Radulov,MON,42,,10,,22,,32,,7,,38,,33,,19,,3,,2,,0.6,,4,,6,,0,,0,,1,,90,,0.111,
 Duncan Keith,CHI,45,,2,,29,,31,,9,,10,,19,,56,,0,,0,,N/A,,1,,9,,0,,0,,1,,98,,0.02,
 Chris Kreider,NYR,38,,17,,14,,31,,5,,21,,70,,22,,4,,2,,0.667,,4,,4,,0,,0,,2,,107,,0.159,
 Henrik Zetterberg,DET,43,,9,,22,,31,,11,,10,,26,,16,,366,,329,,0.527,,1,,4,,0,,0,,0,,93,,0.097,
 Artem Anisimov,CHI,41,,18,,13,,31,,14,,22,,15,,14,,282,,341,,0.453,,4,,3,,0,,0,,6,,73,,0.247,
 Ryan Johansen,NAS,43,,7,,23,,30,,-2,,26,,47,,15,,367,,349,,0.513,,3,,11,,1,,0,,3,,93,,0.075,
 Sam Gagner,COB,41,,14,,16,,30,,11,,14,,5,,9,,66,,79,,0.455,,6,,8,,0,,0,,1,,91,,0.154,
 Brayden Schenn,PHI,42,,15,,15,,30,,-13,,30,,100,,24,,161,,171,,0.485,,11,,7,,0,,0,,4,,103,,0.146,
 Mikko Koivu,MIN,41,,13,,17,,30,,22,,12,,16,,42,,510,,418,,0.55,,0,,6,,0,,1,,3,,64,,0.203,
 Bo Horvat,VAN,44,,13,,17,,30,,1,,16,,45,,15,,404,,346,,0.539,,1,,4,,2,,0,,1,,77,,0.169,
 Mike Hoffman,OTT,37,,12,,17,,29,,1,,29,,31,,14,,5,,2,,0.714,,8,,5,,0,,0,,4,,112,,0.107,
 Thomas Vanek,DET,32,,11,,18,,29,,5,,14,,18,,1,,6,,9,,0.4,,3,,4,,0,,0,,1,,75,,0.147,
 Kyle Turris,OTT,41,,15,,14,,29,,-2,,29,,12,,35,,336,,328,,0.506,,1,,6,,0,,0,,3,,79,,0.19,
 Mikael Backlund,CGY,46,,12,,17,,29,,6,,16,,33,,29,,401,,433,,0.481,,5,,5,,0,,3,,3,,107,,0.112,
 Vincent Trocheck,FLA,45,,14,,15,,29,,-10,,16,,109,,30,,488,,472,,0.508,,2,,6,,0,,0,,1,,125,,0.112,
 Marcus Johansson,WAS,42,,14,,15,,29,,12,,8,,17,,8,,8,,11,,0.421,,3,,5,,0,,0,,5,,65,,0.215,
 Jakob Silfverberg,ANA,45,,13,,16,,29,,14,,12,,29,,24,,1,,4,,0.2,,3,,2,,1,,0,,4,,124,,0.105,
 Tyler Bozak,TOR,38,,10,,18,,28,,-1,,8,,28,,12,,352,,273,,0.563,,3,,6,,0,,0,,1,,75,,0.133,
 Nazem Kadri,TOR,41,,18,,10,,28,,-5,,63,,54,,18,,283,,329,,0.462,,9,,3,,0,,0,,4,,128,,0.141,
 Shea Weber,MON,44,,10,,18,,28,,19,,28,,85,,94,,0,,0,,N/A,,8,,7,,0,,2,,3,,108,,0.093,
 Josh Bailey,NYI,41,,5,,23,,28,,0,,4,,21,,33,,6,,5,,0.545,,1,,6,,0,,0,,1,,86,,0.058,
 Evgeny Kuznetsov,WAS,42,,5,,23,,28,,13,,24,,27,,8,,251,,331,,0.431,,0,,5,,0,,0,,1,,81,,0.062,
 William Nylander,TOR,40,,9,,19,,28,,-4,,18,,9,,11,,43,,57,,0.43,,5,,10,,0,,0,,0,,98,,0.092,
 Johnny Gaudreau,CGY,36,,10,,18,,28,,-12,,0,,4,,6,,0,,0,,N/A,,2,,8,,0,,0,,1,,102,,0.098,
 Torey Krug,BOS,46,,4,,24,,28,,-6,,24,,33,,36,,0,,1,,0,,2,,10,,0,,0,,1,,130,,0.031,
 Kevin Shattenkirk,STL,43,,8,,20,,28,,-9,,33,,47,,48,,0,,0,,N/A,,6,,10,,0,,0,,0,,83,,0.096,
 Nathan MacKinnon,COL,41,,11,,17,,28,,-13,,4,,25,,14,,411,,374,,0.524,,2,,5,,2,,0,,4,,136,,0.081,
 Jason Zucker,MIN,41,,11,,17,,28,,25,,18,,38,,24,,1,,3,,0.25,,1,,0,,0,,0,,2,,78,,0.141,
 Jonathan Drouin,TAM,36,,13,,15,,28,,-4,,10,,24,,8,,33,,44,,0.429,,6,,7,,0,,0,,2,,100,,0.13,
 David Krejci,BOS,46,,10,,18,,28,,-8,,14,,34,,32,,348,,325,,0.517,,5,,4,,0,,0,,1,,102,,0.098,
 Milan Lucic,EDM,45,,10,,17,,27,,-5,,18,,113,,10,,4,,2,,0.667,,4,,9,,0,,0,,1,,102,,0.098,
 Valtteri Filppula,TAM,42,,6,,21,,27,,-1,,18,,13,,22,,320,,382,,0.456,,0,,6,,0,,0,,1,,56,,0.107,
 Matthew Tkachuk,CGY,42,,8,,19,,27,,10,,76,,42,,11,,4,,8,,0.333,,2,,5,,0,,0,,1,,74,,0.108,
 Logan Couture,SAN,43,,14,,13,,27,,0,,10,,32,,40,,192,,293,,0.396,,7,,1,,0,,0,,1,,115,,0.122,
 Michael Grabner,NYR,43,,19,,8,,27,,22,,8,,25,,23,,5,,5,,0.5,,0,,0,,0,,1,,3,,90,,0.211,
 Kyle Okposo,BUF,41,,12,,15,,27,,-3,,12,,36,,14,,53,,45,,0.541,,6,,9,,0,,0,,0,,103,,0.117,
 Ryan McDonagh,NYR,43,,2,,25,,27,,9,,25,,46,,85,,0,,0,,N/A,,1,,9,,0,,0,,0,,75,,0.027,
 Travis Zajac,NJD,43,,9,,18,,27,,-7,,20,,52,,16,,453,,402,,0.53,,3,,3,,0,,1,,1,,79,,0.114,
 Taylor Hall,NJD,34,,10,,17,,27,,-7,,14,,30,,16,,3,,3,,0.5,,5,,3,,0,,0,,3,,113,,0.089,
 Robby Fabbri,STL,42,,11,,16,,27,,-7,,27,,51,,11,,13,,11,,0.542,,4,,4,,0,,0,,0,,74,,0.149,
 Radim Vrbata,ARI,42,,9,,18,,27,,-16,,8,,32,,12,,13,,18,,0.419,,2,,6,,0,,0,,0,,121,,0.074,
 Jason Spezza,DAL,37,,7,,20,,27,,-11,,25,,9,,12,,219,,195,,0.529,,1,,12,,1,,0,,2,,84,,0.083,
 Sam Reinhart,BUF,42,,9,,18,,27,,0,,8,,13,,18,,71,,103,,0.408,,5,,6,,0,,0,,1,,90,,0.1,
 Henrik Sedin,VAN,44,,9,,18,,27,,-12,,8,,9,,7,,316,,321,,0.496,,1,,8,,0,,0,,3,,53,,0.17,
 Jaromir Jagr,FLA,45,,8,,19,,27,,5,,36,,16,,3,,0,,1,,0,,4,,4,,0,,0,,1,,100,,0.08,
 Dougie Hamilton,CGY,45,,7,,20,,27,,-1,,42,,49,,57,,0,,0,,N/A,,0,,7,,0,,1,,4,,130,,0.054,
 Filip Forsberg,NAS,43,,11,,16,,27,,-7,,16,,60,,13,,5,,11,,0.313,,2,,4,,0,,0,,3,,112,,0.098,
 Jonathan Marchessault,FLA,38,,13,,14,,27,,-3,,16,,59,,11,,72,,79,,0.477,,3,,5,,0,,0,,3,,95,,0.137,
 Paul Byron,MON,43,,13,,14,,27,,10,,18,,53,,15,,7,,1,,0.875,,0,,3,,1,,0,,3,,54,,0.241,
 Rasmus Ristolainen,BUF,42,,3,,24,,27,,-5,,18,,112,,88,,0,,0,,N/A,,1,,15,,0,,0,,2,,93,,0.032,
 Aleksander Barkov,FLA,36,,9,,18,,27,,7,,6,,25,,16,,263,,300,,0.467,,1,,6,,0,,0,,2,,88,,0.102,
 Mike Fisher,NAS,39,,12,,14,,26,,-1,,40,,78,,31,,365,,308,,0.542,,6,,5,,0,,0,,2,,62,,0.194,
 Justin Schultz,PIT,42,,7,,19,,26,,20,,12,,34,,52,,0,,0,,N/A,,1,,8,,0,,0,,1,,76,,0.092,
 Zach Werenski,COB,42,,6,,20,,26,,8,,10,,27,,49,,0,,0,,N/A,,3,,13,,0,,0,,1,,107,,0.056,
 Dustin Byfuglien,WPG,46,,7,,19,,26,,-1,,64,,111,,75,,0,,0,,N/A,,1,,6,,0,,0,,1,,135,,0.052,
 Nino Niederreiter,MIN,41,,11,,15,,26,,17,,10,,71,,8,,0,,1,,0,,3,,0,,0,,0,,1,,74,,0.149,
 Joe Thornton,SAN,43,,2,,24,,26,,7,,41,,28,,18,,235,,196,,0.545,,0,,10,,0,,0,,0,,46,,0.043,
 Jordan Eberle,EDM,45,,8,,18,,26,,-2,,6,,8,,19,,5,,3,,0.625,,3,,7,,0,,0,,0,,111,,0.072,
 John Klingberg,DAL,42,,7,,19,,26,,-1,,26,,24,,57,,1,,0,,1,,2,,8,,0,,0,,2,,65,,0.108,
 Conor Sheary,PIT,35,,11,,14,,25,,11,,14,,15,,13,,0,,0,,N/A,,1,,1,,0,,0,,2,,81,,0.136,
 Alec Martinez,LOS,43,,6,,19,,25,,-6,,12,,89,,90,,0,,1,,0,,1,,6,,0,,0,,3,,81,,0.074,
 Scott Hartnell,COB,42,,11,,14,,25,,11,,19,,44,,24,,3,,3,,0.5,,2,,1,,0,,0,,0,,57,,0.193,
 T.J. Oshie,WAS,34,,14,,11,,25,,20,,18,,48,,23,,34,,43,,0.442,,2,,3,,1,,1,,3,,72,,0.194,
 Sean Monahan,CGY,46,,12,,13,,25,,-13,,12,,21,,12,,441,,386,,0.533,,4,,5,,0,,0,,2,,104,,0.115,
 Michael Frolik,CGY,46,,11,,14,,25,,5,,22,,34,,32,,8,,9,,0.471,,2,,1,,2,,1,,1,,104,,0.106,
 Matt Duchene,COL,37,,13,,12,,25,,-14,,2,,15,,24,,276,,172,,0.616,,2,,4,,0,,0,,3,,89,,0.146,
 Patrick Maroon,EDM,45,,18,,7,,25,,12,,52,,104,,9,,5,,8,,0.385,,2,,2,,0,,0,,2,,102,,0.176,
 Tyler Johnson,TAM,44,,12,,13,,25,,-9,,20,,37,,17,,395,,351,,0.529,,5,,8,,0,,0,,2,,85,,0.141,
 John Carlson,WAS,42,,5,,20,,25,,10,,0,,39,,66,,0,,0,,N/A,,1,,9,,0,,1,,1,,106,,0.047,
 Viktor Arvidsson,NAS,41,,10,,15,,25,,9,,12,,12,,26,,3,,3,,0.5,,1,,2,,2,,2,,0,,130,,0.077,
 Alexander Steen,STL,37,,5,,20,,25,,-10,,35,,14,,37,,40,,70,,0.364,,0,,10,,0,,0,,0,,50,,0.1,
 Rickard Rakell,ANA,34,,17,,8,,25,,2,,6,,46,,13,,29,,31,,0.483,,4,,3,,0,,0,,4,,82,,0.207,
 Ryan Suter,MIN,41,,6,,19,,25,,27,,14,,41,,48,,0,,0,,N/A,,3,,5,,1,,1,,0,,84,,0.071,
 Kyle Palmieri,NJD,42,,9,,16,,25,,1,,19,,79,,20,,8,,12,,0.4,,3,,7,,0,,0,,1,,81,,0.111,
 Ryan O'Reilly,BUF,32,,8,,17,,25,,3,,6,,5,,18,,430,,326,,0.569,,3,,10,,0,,0,,2,,95,,0.084,
 Marian Hossa,CHI,39,,16,,9,,25,,6,,6,,16,,18,,4,,7,,0.364,,3,,4,,0,,0,,4,,88,,0.182,
 Frans Nielsen,DET,43,,9,,15,,24,,-9,,4,,39,,32,,361,,299,,0.547,,0,,7,,2,,0,,0,,88,,0.102,
 Phillip Danault,MON,44,,9,,15,,24,,-1,,14,,41,,33,,244,,213,,0.534,,0,,1,,0,,1,,3,,70,,0.129,
 Sven Baertschi,VAN,41,,11,,13,,24,,5,,0,,27,,14,,1,,0,,1,,1,,2,,0,,0,,4,,82,,0.134,
 Alex Galchenyuk,MON,26,,10,,14,,24,,9,,16,,10,,15,,125,,190,,0.397,,3,,5,,0,,0,,2,,46,,0.217,
 Paul Stastny,STL,42,,10,,14,,24,,-1,,24,,31,,23,,504,,403,,0.556,,3,,6,,0,,0,,2,,63,,0.159,
 Jaden Schwartz,STL,39,,12,,12,,24,,-1,,10,,35,,21,,36,,44,,0.45,,3,,2,,0,,0,,3,,83,,0.145,
 Patrick Eaves,DAL,43,,15,,9,,24,,-10,,16,,47,,25,,1,,2,,0.333,,8,,3,,0,,0,,1,,105,,0.143,
 Anze Kopitar,LOS,38,,4,,20,,24,,1,,12,,45,,22,,452,,410,,0.524,,0,,6,,0,,1,,0,,78,,0.051,
 Daniel Sedin,VAN,44,,11,,13,,24,,-9,,20,,10,,10,,2,,3,,0.4,,5,,4,,0,,0,,1,,110,,0.1,
 Oliver Ekman-Larsson,ARI,42,,8,,15,,23,,-13,,26,,67,,41,,0,,0,,N/A,,5,,7,,0,,0,,1,,82,,0.098,
 Jordan Staal,CAR,36,,9,,14,,23,,3,,15,,68,,16,,344,,232,,0.597,,2,,0,,1,,0,,2,,81,,0.111,
 Cam Fowler,ANA,45,,9,,14,,23,,4,,10,,21,,65,,0,,0,,N/A,,5,,6,,0,,0,,3,,99,,0.091,
 Brock Nelson,NYI,41,,9,,14,,23,,-1,,22,,31,,32,,181,,227,,0.444,,1,,4,,0,,1,,0,,86,,0.105,
 Adam Henrique,NJD,44,,10,,13,,23,,-7,,24,,52,,41,,354,,355,,0.499,,2,,2,,1,,0,,1,,78,,0.128,
 Drew Doughty,LOS,43,,7,,16,,23,,7,,28,,68,,68,,1,,0,,1,,3,,7,,0,,1,,0,,105,,0.067,
 Patric Hornqvist,PIT,36,,10,,13,,23,,8,,14,,120,,32,,3,,5,,0.375,,7,,3,,0,,0,,1,,127,,0.079,
 Kris Letang,PIT,30,,4,,19,,23,,-5,,20,,57,,53,,0,,0,,N/A,,2,,9,,0,,0,,1,,89,,0.045,
 Brandon Sutter,VAN,44,,12,,11,,23,,-12,,6,,39,,27,,443,,361,,0.551,,3,,2,,0,,0,,1,,94,,0.128,
 David Perron,STL,43,,11,,12,,23,,-8,,34,,49,,14,,25,,24,,0.51,,2,,5,,0,,0,,3,,83,,0.133,
 Nick Holden,NYR,44,,8,,15,,23,,20,,14,,81,,50,,0,,1,,0,,2,,1,,0,,0,,2,,38,,0.211,
 Gustav Nyquist,DET,43,,6,,17,,23,,-6,,8,,30,,11,,4,,0,,1,,1,,3,,0,,0,,2,,94,,0.064,
 Sebastian Aho,CAR,43,,10,,13,,23,,1,,6,,25,,4,,11,,12,,0.478,,0,,4,,0,,0,,1,,108,,0.093,
 Teuvo Teravainen,CAR,43,,10,,13,,23,,1,,8,,10,,11,,133,,159,,0.455,,3,,4,,0,,0,,2,,78,,0.128,
 Tanner Pearson,LOS,41,,13,,10,,23,,10,,7,,69,,15,,1,,8,,0.111,,1,,3,,0,,1,,2,,88,,0.148,
 Justin Williams,WAS,42,,12,,10,,22,,5,,32,,13,,26,,40,,30,,0.571,,3,,2,,0,,0,,1,,94,,0.128,
 Jeff Petry,MON,43,,8,,14,,22,,12,,18,,81,,79,,0,,0,,N/A,,2,,4,,0,,0,,1,,102,,0.078,
 Alex Killorn,TAM,44,,13,,9,,22,,-8,,45,,54,,15,,1,,6,,0.143,,2,,5,,1,,0,,3,,99,,0.131,
 Jake Gardiner,TOR,41,,6,,16,,22,,8,,24,,32,,33,,0,,0,,N/A,,2,,6,,0,,0,,1,,66,,0.091,
 Ondrej Palat,TAM,39,,9,,13,,22,,-2,,23,,76,,27,,4,,7,,0.364,,2,,5,,0,,0,,0,,69,,0.13,
 Roman Josi,NAS,42,,5,,17,,22,,-5,,14,,30,,68,,0,,0,,N/A,,2,,7,,0,,1,,1,,124,,0.04,
 Anthony Mantha,DET,28,,11,,11,,22,,11,,14,,20,,18,,3,,4,,0.429,,1,,2,,0,,0,,2,,68,,0.162,
 Mike Ribeiro,NAS,41,,4,,18,,22,,-3,,14,,28,,5,,167,,231,,0.42,,2,,4,,0,,0,,0,,36,,0.111,
 Michael Cammalleri,NJD,38,,10,,12,,22,,-4,,19,,25,,11,,14,,10,,0.583,,1,,4,,0,,0,,3,,86,,0.116,
 Lee Stempniak,CAR,43,,9,,13,,22,,5,,22,,58,,10,,1,,2,,0.333,,2,,2,,0,,0,,1,,66,,0.136,
 Keith Yandle,FLA,45,,3,,19,,22,,-4,,20,,12,,47,,0,,0,,N/A,,2,,8,,0,,0,,0,,105,,0.029,
 Andrei Markov,MON,31,,2,,19,,21,,7,,12,,21,,32,,0,,0,,N/A,,0,,8,,0,,1,,0,,44,,0.045,
 Nick Leddy,NYI,40,,7,,14,,21,,-8,,6,,37,,67,,0,,0,,N/A,,2,,6,,0,,0,,1,,76,,0.092,
 Ryan Nugent-Hopkins,EDM,45,,8,,13,,21,,-12,,16,,31,,16,,308,,353,,0.466,,3,,3,,0,,0,,2,,122,,0.066,
 Travis Konecny,PHI,44,,7,,14,,21,,-3,,35,,60,,14,,0,,5,,0,,3,,1,,0,,0,,0,,94,,0.074,
 Ryan Spooner,BOS,45,,7,,14,,21,,-1,,12,,15,,11,,19,,28,,0.404,,2,,5,,0,,0,,2,,91,,0.077,
 Ryan Dzingel,OTT,41,,8,,13,,21,,5,,14,,39,,16,,3,,6,,0.333,,1,,1,,1,,0,,1,,63,,0.127,
 Brent Seabrook,CHI,43,,2,,19,,21,,-3,,10,,67,,62,,0,,0,,N/A,,2,,8,,0,,0,,0,,63,,0.032,
 Tyson Barrie,COL,41,,3,,18,,21,,-24,,14,,19,,40,,0,,0,,N/A,,0,,6,,0,,0,,1,,104,,0.029,
 Rick Nash,NYR,32,,14,,7,,21,,-1,,12,,23,,21,,0,,1,,0,,4,,2,,1,,0,,2,,93,,0.151,
 Jonathan Toews,CHI,36,,7,,14,,21,,-2,,19,,25,,15,,455,,330,,0.58,,3,,4,,0,,0,,2,,96,,0.073,
 David Backes,BOS,38,,11,,10,,21,,-1,,48,,105,,25,,39,,45,,0.464,,2,,2,,0,,0,,1,,100,,0.11,
 Andrew Cogliano,ANA,45,,10,,11,,21,,11,,18,,38,,16,,4,,7,,0.364,,0,,0,,2,,0,,0,,103,,0.097,
 Connor Brown,TOR,41,,11,,9,,20,,8,,6,,33,,29,,0,,2,,0,,1,,1,,1,,0,,2,,70,,0.157,
 Seth Jones,COB,36,,7,,13,,20,,5,,12,,35,,69,,0,,0,,N/A,,0,,3,,0,,0,,2,,75,,0.093,
 Derick Brassard,OTT,41,,8,,12,,20,,2,,10,,47,,10,,333,,330,,0.502,,1,,3,,0,,0,,1,,102,,0.078,
 Zach Parise,MIN,32,,8,,12,,20,,1,,18,,24,,41,,4,,1,,0.8,,3,,4,,0,,0,,0,,97,,0.082,
 Andrej Sekera,EDM,43,,5,,15,,20,,11,,10,,25,,77,,0,,0,,N/A,,0,,5,,1,,0,,0,,61,,0.082,
 Anders Lee,NYI,41,,15,,5,,20,,6,,22,,90,,20,,1,,4,,0.2,,3,,0,,0,,0,,3,,84,,0.179,
 Ivan Provorov,PHI,45,,3,,17,,20,,-6,,14,,58,,89,,0,,0,,N/A,,0,,3,,0,,0,,1,,75,,0.04,
 Justin Faulk,CAR,36,,8,,12,,20,,-8,,12,,65,,39,,0,,0,,N/A,,1,,4,,0,,0,,1,,114,,0.07,
 James Neal,NAS,34,,14,,6,,20,,-6,,17,,43,,12,,1,,1,,0.5,,2,,3,,0,,0,,2,,107,,0.131,
 Colton Parayko,STL,43,,2,,18,,20,,0,,12,,37,,70,,0,,0,,N/A,,2,,5,,0,,0,,1,,109,,0.018,
