Name,Team,GP,,G,,A,,Pts,,+/-,,PIM,,Hits,,BkS,,FW,,FL,,FO%,,PPG,,PPA,,SHG,,SHA,,GW,,SOG,,Pct,
 Kevin Shattenkirk,STL,19,,4,,10,,14,,1,,21,,18,,15,,0,,0,,N/A,,3,,6,,0,,0,,0,,38,,0.105,
 Blake Wheeler,WPG,20,,6,,8,,14,,0,,14,,36,,11,,17,,19,,0.472,,0,,3,,1,,0,,0,,59,,0.102,
 Tyler Bozak,TOR,18,,5,,9,,14,,0,,4,,13,,5,,167,,117,,0.588,,1,,1,,0,,0,,1,,33,,0.152,
 Jeff Skinner,CAR,15,,7,,7,,14,,0,,8,,9,,5,,4,,9,,0.308,,1,,3,,0,,0,,0,,53,,0.132,
 Andrei Markov,MON,19,,2,,12,,14,,3,,6,,12,,18,,0,,0,,N/A,,0,,5,,0,,1,,0,,27,,0.074,
 David Pastrnak,BOS,14,,10,,4,,14,,11,,2,,10,,4,,0,,1,,0,,3,,1,,0,,0,,2,,48,,0.208,
 Michael Grabner,NYR,18,,11,,3,,14,,17,,2,,9,,12,,2,,1,,0.667,,0,,0,,0,,1,,1,,43,,0.256,
 Victor Rask,CAR,16,,7,,7,,14,,4,,2,,5,,3,,112,,124,,0.475,,2,,1,,0,,0,,1,,35,,0.2,
 Patric Hornqvist,PIT,16,,5,,8,,13,,2,,2,,41,,20,,1,,4,,0.2,,4,,3,,0,,0,,1,,62,,0.081,
 Valtteri Filppula,TAM,18,,4,,9,,13,,5,,4,,7,,8,,141,,193,,0.422,,0,,5,,0,,0,,1,,21,,0.19,
 Zach Werenski,COB,15,,5,,8,,13,,5,,4,,12,,15,,0,,0,,N/A,,3,,3,,0,,0,,1,,39,,0.128,
 Ryan Suter,MIN,17,,4,,9,,13,,9,,8,,16,,15,,0,,0,,N/A,,1,,4,,1,,0,,0,,39,,0.103,
 John Tavares,NYI,17,,5,,8,,13,,-2,,18,,8,,6,,183,,169,,0.52,,2,,2,,0,,0,,0,,54,,0.093,
 Max Pacioretty,MON,19,,4,,9,,13,,6,,12,,21,,8,,0,,0,,N/A,,1,,1,,0,,1,,2,,49,,0.082,
 Marcus Johansson,WAS,17,,7,,6,,13,,6,,4,,9,,0,,4,,5,,0.444,,2,,2,,0,,0,,3,,33,,0.212,
 Eric Staal,MIN,17,,5,,8,,13,,6,,6,,12,,5,,158,,141,,0.528,,1,,2,,0,,1,,2,,50,,0.1,
 Nazem Kadri,TOR,18,,7,,6,,13,,0,,45,,29,,8,,111,,141,,0.44,,2,,2,,0,,0,,1,,47,,0.149,
 Mats Zuccarello,NYR,18,,7,,6,,13,,4,,8,,19,,6,,1,,1,,0.5,,2,,0,,0,,0,,0,,41,,0.171,
 Auston Matthews,TOR,18,,6,,7,,13,,-4,,0,,3,,8,,91,,89,,0.506,,1,,4,,0,,0,,0,,67,,0.09,
 Jordan Eberle,EDM,19,,5,,8,,13,,-6,,4,,5,,8,,1,,1,,0.5,,1,,2,,0,,0,,0,,55,,0.091,
 Daniel Sedin,VAN,19,,6,,7,,13,,-4,,6,,6,,6,,0,,1,,0,,2,,2,,0,,0,,1,,54,,0.111,
 Max Domi,ARI,17,,2,,11,,13,,-3,,11,,13,,8,,3,,3,,0.5,,1,,3,,0,,0,,1,,37,,0.054,
 Victor Hedman,TAM,19,,3,,10,,13,,6,,12,,21,,28,,0,,0,,N/A,,1,,4,,0,,0,,2,,34,,0.088,
 Brandon Saad,COB,15,,4,,8,,12,,5,,2,,3,,4,,1,,1,,0.5,,0,,0,,0,,0,,0,,35,,0.114,
 Damon Severson,NJD,17,,3,,9,,12,,-3,,10,,18,,15,,0,,0,,N/A,,0,,5,,0,,0,,1,,29,,0.103,
 Jonathan Toews,CHI,19,,4,,8,,12,,4,,13,,13,,8,,273,,179,,0.604,,1,,3,,0,,0,,2,,47,,0.085,
 James Neal,NAS,17,,8,,4,,12,,-1,,15,,25,,9,,1,,1,,0.5,,1,,1,,0,,0,,1,,65,,0.123,
 Antoine Roussel,DAL,19,,4,,8,,12,,1,,54,,21,,11,,1,,1,,0.5,,0,,3,,0,,0,,2,,26,,0.154,
 Radim Vrbata,ARI,17,,6,,6,,12,,-1,,4,,11,,4,,3,,4,,0.429,,1,,1,,0,,0,,0,,54,,0.111,
 Alex Ovechkin,WAS,17,,8,,4,,12,,-3,,10,,48,,4,,0,,1,,0,,2,,1,,0,,0,,3,,70,,0.114,
 Filip Forsberg,NAS,17,,1,,11,,12,,-3,,6,,28,,5,,5,,6,,0.455,,0,,3,,0,,0,,0,,36,,0.028,
 Paul Byron,MON,19,,7,,5,,12,,7,,4,,23,,6,,2,,0,,1,,0,,0,,1,,0,,2,,25,,0.28,
 Nathan MacKinnon,COL,17,,4,,8,,12,,-1,,0,,12,,3,,161,,152,,0.514,,0,,4,,1,,0,,1,,63,,0.063,
 Brock Nelson,NYI,17,,5,,7,,12,,3,,6,,14,,16,,91,,122,,0.427,,1,,2,,0,,1,,0,,35,,0.143,
 Taylor Hall,NJD,14,,5,,7,,12,,3,,4,,14,,7,,1,,2,,0.333,,3,,1,,0,,0,,2,,60,,0.083,
 Joe Thornton,SAN,18,,2,,10,,12,,2,,6,,15,,7,,107,,80,,0.572,,0,,4,,0,,0,,0,,16,,0.125,
 Tyler Toffoli,LOS,19,,5,,7,,12,,8,,0,,22,,1,,0,,2,,0,,2,,0,,0,,1,,0,,63,,0.079,
 Jakob Silfverberg,ANA,18,,6,,6,,12,,8,,2,,11,,10,,1,,3,,0.25,,1,,0,,1,,0,,2,,44,,0.136,
 Michael Frolik,CGY,19,,6,,6,,12,,-1,,6,,14,,14,,6,,6,,0.5,,0,,0,,2,,0,,1,,45,,0.133,
 Henrik Sedin,VAN,19,,5,,7,,12,,-5,,4,,5,,2,,152,,152,,0.5,,1,,3,,0,,0,,1,,25,,0.2,
 T.J. Oshie,WAS,17,,8,,4,,12,,10,,10,,18,,10,,23,,24,,0.489,,2,,2,,1,,1,,1,,37,,0.216,
 Cam Fowler,ANA,18,,5,,6,,11,,-1,,2,,10,,22,,0,,0,,N/A,,3,,3,,0,,0,,1,,35,,0.143,
 Mike Green,DET,18,,3,,8,,11,,0,,16,,16,,21,,0,,0,,N/A,,1,,2,,0,,0,,0,,33,,0.091,
